candidate_id,dataset,horizon_step,horizon_group,mae
Control_B_FixedShrinkage,GEFCom,20,Long (17-24),15.110665581971062
Control_B_FixedShrinkage,GEFCom,21,Long (17-24),15.233774380772598
Control_B_FixedShrinkage,GEFCom,22,Long (17-24),15.284435730053167
Control_B_FixedShrinkage,GEFCom,23,Long (17-24),15.453903445520067
Control_B_FixedShrinkage,GEFCom,24,Long (17-24),15.73922289603695
Control_B_FixedShrinkage,UCI,1,Short (1-8),6.114723111491409
Control_B_FixedShrinkage,UCI,2,Short (1-8),6.398965097403137
Control_B_FixedShrinkage,UCI,3,Short (1-8),6.978508874087233
Control_B_FixedShrinkage,UCI,4,Short (1-8),7.069642749488196
Control_B_FixedShrinkage,UCI,5,Short (1-8),7.305148943577694
Control_B_FixedShrinkage,UCI,6,Short (1-8),7.495814763123741
Control_B_FixedShrinkage,UCI,7,Short (1-8),7.953725114767653
Control_B_FixedShrinkage,UCI,8,Short (1-8),7.997378514002498
Control_B_FixedShrinkage,UCI,9,Medium (9-16),8.23999454881405
Control_B_FixedShrinkage,UCI,10,Medium (9-16),8.396045578697048
Control_B_FixedShrinkage,UCI,11,Medium (9-16),8.874930562373626
Control_B_FixedShrinkage,UCI,12,Medium (9-16),8.012728340079187
Control_B_FixedShrinkage,UCI,13,Medium (9-16),7.711709137958886
Control_B_FixedShrinkage,UCI,14,Medium (9-16),8.157575965163746
Control_B_FixedShrinkage,UCI,15,Medium (9-16),7.8646076418186
Control_B_FixedShrinkage,UCI,16,Medium (9-16),7.704865898058821
Control_B_FixedShrinkage,UCI,17,Long (17-24),7.730183382280574
Control_B_FixedShrinkage,UCI,18,Long (17-24),7.6983451374068785
Control_B_FixedShrinkage,UCI,19,Long (17-24),7.929250251897338
Control_B_FixedShrinkage,UCI,20,Long (17-24),7.952719392572889
Control_B_FixedShrinkage,UCI,21,Long (17-24),8.022829947774694
Control_B_FixedShrinkage,UCI,22,Long (17-24),8.057302125613292
Control_B_FixedShrinkage,UCI,23,Long (17-24),8.304306664094533
Control_B_FixedShrinkage,UCI,24,Long (17-24),8.507513746646682
Control_C_HorizonRouting,PJM,1,Short (1-8),139.85793796492092
Control_C_HorizonRouting,PJM,2,Short (1-8),166.2143761576674
Control_C_HorizonRouting,PJM,3,Short (1-8),192.66238927843142
Control_C_HorizonRouting,PJM,4,Short (1-8),215.30109781484467
Control_C_HorizonRouting,PJM,5,Short (1-8),241.91253317008844
Control_C_HorizonRouting,PJM,6,Short (1-8),251.65778783325206
Control_C_HorizonRouting,PJM,7,Short (1-8),265.5019815276783
