seed,criterion,regime,count,v2_mae,equal_ens_mae,v2_advantage_mw,mean_w_gru,mean_w_tcn,mean_w_patch,mean_entropy
44,Volatility,Medium,432,234.15194702148438,237.78948974609375,3.637542724609375,0.06631537526845932,0.26520177721977234,0.6684828996658325,0.8009864091873169
44,Volatility,High,431,262.1068420410156,258.0827331542969,-4.02410888671875,0.06415791809558868,0.26506727933883667,0.6707748174667358,0.7958505153656006
45,Baseline_Error,Low,431,219.66696166992188,212.37257385253906,-7.2943878173828125,0.073895163834095,0.29363390803337097,0.6324709057807922,0.8417286276817322
45,Baseline_Error,Medium,432,211.94798278808594,213.89376831054688,1.9457855224609375,0.06953192502260208,0.2919681966304779,0.638499915599823,0.8309066295623779
45,Baseline_Error,High,431,322.199462890625,293.96783447265625,-28.23162841796875,0.05968160182237625,0.2829720079898834,0.6573463678359985,0.8002793192863464
45,Disagreement,Low,431,198.68527221679688,196.76783752441406,-1.9174346923828125,0.07375021278858185,0.28722184896469116,0.6390278935432434,0.8360686302185059
45,Disagreement,Medium,432,236.7284393310547,228.1667022705078,-8.561737060546875,0.06918266415596008,0.29039883613586426,0.640418529510498,0.8286998271942139
45,Disagreement,High,431,318.3431701660156,295.26654052734375,-23.076629638671875,0.06017661839723587,0.29095715284347534,0.6488662958145142,0.8081511855125427
45,Volatility,Low,431,210.86329650878906,212.98533630371094,2.122039794921875,0.07211656123399734,0.2897748351097107,0.6381086111068726,0.8344244956970215
45,Volatility,Medium,432,245.16493225097656,235.51071166992188,-9.654220581054688,0.06951717287302017,0.29061102867126465,0.6398718357086182,0.8295457363128662
45,Volatility,High,431,297.70904541015625,271.6880187988281,-26.021026611328125,0.061474982649087906,0.28819143772125244,0.65033358335495,0.8089475035667419
46,Baseline_Error,Low,431,226.67625427246094,209.89837646484375,-16.777877807617188,0.04041081294417381,0.2896287739276886,0.6699603796005249,0.7568730115890503
46,Baseline_Error,Medium,432,228.52011108398438,205.71688842773438,-22.80322265625,0.039038870483636856,0.28861287236213684,0.6723483204841614,0.7521453499794006
46,Baseline_Error,High,431,292.8765869140625,287.99932861328125,-4.87725830078125,0.03695625439286232,0.28496962785720825,0.6780741214752197,0.7430005669593811
46,Disagreement,Low,431,211.2834930419922,185.0655975341797,-26.2178955078125,0.04022593796253204,0.28760695457458496,0.6721671223640442,0.7545947432518005
46,Disagreement,Medium,432,237.31533813476562,225.52890014648438,-11.78643798828125,0.03886564448475838,0.2883128821849823,0.6728214621543884,0.7513898015022278
46,Disagreement,High,431,299.4537353515625,292.9741516113281,-6.479583740234375,0.0373147577047348,0.2872921824455261,0.6753931045532227,0.7460361123085022
46,Volatility,Low,431,218.70077514648438,201.6719512939453,-17.028823852539062,0.03958766162395477,0.28837791085243225,0.6720343828201294,0.7534521818161011
46,Volatility,Medium,432,245.46498107910156,233.16207885742188,-12.302902221679688,0.03903985023498535,0.28791701793670654,0.6730431318283081,0.7515166401863098
46,Volatility,High,431,283.8678894042969,268.7169494628906,-15.15093994140625,0.03777842968702316,0.2869179844856262,0.67530357837677,0.7470515370368958
