model,seed,mae_mw,mse_mw2,rmse_mw,r2,mape_pct
CAEG_Net_BR_No_KL,43,243.7709197998047,111710.6328125,334.23140608342,0.8725010752677917,4.542245864868164
CAEG_Net_BR_Rho_0_10,43,236.2752227783203,105083.3203125,324.1655754587461,0.8800650835037231,4.408958911895752
CAEG_Net_BR_Rho_0_20,43,235.9852294921875,105306.6796875,324.509906917339,0.879810094833374,4.400259494781494
Standalone_GRU,44,267.6759338378906,134750.0,367.08309685955305,0.8462055325508118,4.954142093658447
Standalone_TCN,44,240.71556091308594,103571.453125,321.8251903207703,0.8817905783653259,4.478433132171631
Standalone_Patch,44,268.6961669921875,134728.390625,367.05366177849254,0.8462302088737488,4.995030879974365
Static_Equal_Ensemble,44,234.10862731933594,103950.265625,322.413190835921,0.88135826587677,4.336533546447754
Learned_Static_Weights,44,250.14773559570312,117910.0078125,343.380267069178,0.8654255270957947,4.642302989959717
Decoupled_CAEG,44,238.1149139404297,106540.5,326.40542274907136,0.8784019351005554,4.4148640632629395
CAEG_Net_SR,44,238.58151245117188,107793.5859375,328.31933530862904,0.8769717216491699,4.422692775726318
CAEG_Net_BR_Optimal,44,245.87196350097656,113900.1171875,337.49091422955377,0.8700021505355835,4.568179130554199
CAEG_Net_BR_No_KL,44,242.25506591796875,110398.265625,332.26234457879815,0.8739989399909973,4.497081756591797
CAEG_Net_BR_Rho_0_10,44,235.1570281982422,104921.53125,323.9159323806101,0.8802497386932373,4.357031345367432
CAEG_Net_BR_Rho_0_20,44,236.7356719970703,106304.6953125,326.04400824505274,0.8786710500717163,4.3873419761657715
Standalone_GRU,45,287.2314147949219,153161.203125,391.3581519848539,0.8251922130584717,5.331057071685791
Standalone_TCN,45,245.306640625,108961.8046875,330.09363018316486,0.8756384253501892,4.5686798095703125
Standalone_Patch,45,267.9198913574219,129384.640625,359.7007653939591,0.8523291945457458,4.9606804847717285
Static_Equal_Ensemble,45,232.553466796875,100577.5625,317.13965772195695,0.8852075934410095,4.294091701507568
Learned_Static_Weights,45,262.25604248046875,124699.828125,353.128628299944,0.857676088809967,4.851044654846191
Decoupled_CAEG,45,255.52499389648438,119532.25,345.73436334851067,0.8635740280151367,4.719841957092285
CAEG_Net_SR,45,239.72547912597656,107128.1875,327.3044263373167,0.877731204032898,4.4167680740356445
CAEG_Net_BR_Optimal,45,245.77061462402344,111799.5390625,334.36438067249327,0.872399628162384,4.536109924316406
CAEG_Net_BR_No_KL,45,264.2657165527344,126303.6015625,355.3921799399925,0.8558456897735596,4.890242099761963
CAEG_Net_BR_Rho_0_10,45,231.6094207763672,99921.4375,316.10352339067657,0.8859564661979675,4.273138523101807
CAEG_Net_BR_Rho_0_20,45,231.56304931640625,100042.6640625,316.2952166291802,0.8858181238174438,4.269615650177002
Standalone_GRU,46,273.7789306640625,144634.984375,380.30906428193373,0.834923505783081,5.081335544586182
Standalone_TCN,46,234.6289825439453,97839.875,312.79366202018866,0.8883322477340698,4.319319248199463
Standalone_Patch,46,264.5165710449219,127692.671875,357.34111416824123,0.854260265827179,4.873981475830078
Static_Equal_Ensemble,46,227.9884490966797,99437.109375,315.33650181195327,0.8865092396736145,4.1878461837768555
Learned_Static_Weights,46,233.8134765625,101947.015625,319.2914274217208,0.8836446404457092,4.292531490325928
Decoupled_CAEG,46,232.34742736816406,100398.0625,316.856532992457,0.8854124546051025,4.268911361694336
CAEG_Net_SR,46,229.01904296875,99396.8671875,315.2726870306085,0.8865551948547363,4.201859474182129
CAEG_Net_BR_Optimal,46,230.02699279785156,99398.640625,315.275499563477,0.886553168296814,4.225175380706787
CAEG_Net_BR_No_KL,46,229.89817810058594,98709.3984375,314.1805188701235,0.8873398303985596,4.220221996307373
CAEG_Net_BR_Rho_0_10,46,228.64920043945312,100011.7734375,316.24638090814574,0.8858533501625061,4.198424339294434
CAEG_Net_BR_Rho_0_20,46,228.04248046875,99507.0078125,315.4473138457514,0.886429488658905,4.183002471923828
