candidate_id,dataset,seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,std_w_lstm,std_w_tcn,std_w_cnn,mean_entropy,effective_n_experts,max_w_expert,min_w_expert
F2,PJM,123,0.36727121472358704,0.31663551926612854,0.31609323620796204,0.014181581325829029,0.012117165140807629,0.0033522779121994972,1.0955393314361572,2.990802764892578,0.4028271436691284,0.2900863289833069
F2,PJM,999,0.33168068528175354,0.3585675358772278,0.30975180864334106,0.004011950455605984,0.006769208703190088,0.004581332206726074,1.096699833869934,2.9942688941955566,0.3771403431892395,0.3005409836769104
F2,PJM,2024,0.36114776134490967,0.2979874908924103,0.34086474776268005,0.006468648090958595,0.007583813276141882,0.0021578341256827116,1.095293402671814,2.9900622367858887,0.37428009510040283,0.28326311707496643
F2,PJM,3407,0.3272683918476105,0.34208014607429504,0.3306514620780945,0.0012547433143481612,0.003159351646900177,0.003797665936872363,1.0983933210372925,2.999343156814575,0.35275694727897644,0.31863123178482056
F2,GEFCom,42,0.409953236579895,0.2816656231880188,0.3083811104297638,0.03725530952215195,0.01655244641005993,0.024142518639564514,1.0820860862731934,2.951026201248169,0.4818059206008911,0.24870605766773224
F2,GEFCom,123,0.3493174612522125,0.2938193380832672,0.35686320066452026,0.033206358551979065,0.010577719658613205,0.027205314487218857,1.09213387966156,2.9806504249572754,0.4381897449493408,0.2608667314052582
F2,GEFCom,999,0.34035322070121765,0.32800695300102234,0.33163982629776,0.011404655873775482,0.005058718845248222,0.007136571686714888,1.098183035850525,2.9987125396728516,0.35895541310310364,0.2999257445335388
F2,GEFCom,2024,0.3541814684867859,0.28802427649497986,0.35779422521591187,0.022144978865981102,0.012376233004033566,0.012730477377772331,1.0926719903945923,2.98223876953125,0.40009698271751404,0.2649695575237274
F2,GEFCom,3407,0.31012198328971863,0.2994430363178253,0.39043501019477844,0.03209385648369789,0.014954273588955402,0.02595023810863495,1.0884089469909668,2.9696438312530518,0.45629483461380005,0.22529593110084534
F2,UCI,42,0.33239099383354187,0.2782112658023834,0.3893977701663971,0.03537452593445778,0.03829070180654526,0.019471172243356705,1.0844136476516724,2.957752227783203,0.5007531642913818,0.22649532556533813
F2,UCI,123,0.34640803933143616,0.30519166588783264,0.3484003245830536,0.0032345750369131565,0.017016993835568428,0.01625373587012291,1.095942497253418,2.9920287132263184,0.48226726055145264,0.19798673689365387
F2,UCI,999,0.3313171863555908,0.31026241183280945,0.35842037200927734,0.0037557093892246485,0.018784333020448685,0.021930156275629997,1.0955716371536255,2.9909160137176514,0.4365385174751282,0.19149240851402283
F2,UCI,2024,0.33851727843284607,0.310079962015152,0.35140272974967957,0.007777979131788015,0.011442850343883038,0.013668416067957878,1.0966873168945312,2.994232654571533,0.38365963101387024,0.24587419629096985
F2,UCI,3407,0.36541733145713806,0.29307636618614197,0.34150630235671997,0.006062670610845089,0.012467104010283947,0.012946509756147861,1.0939239263534546,2.9859726428985596,0.41465145349502563,0.22991764545440674
F3,PJM,42,0.3943660259246826,0.3543411195278168,0.251292884349823,0.0035579102113842964,0.006844811141490936,0.005637030582875013,1.0815001726150513,2.949105978012085,0.39876654744148254,0.23943695425987244
F3,PJM,123,0.36531975865364075,0.31277063488960266,0.3219096064567566,0.002395510906353593,0.0023651993833482265,0.0015463919844478369,1.0962581634521484,2.9929463863372803,0.3687463402748108,0.3094274401664734
F3,PJM,999,0.34675076603889465,0.3256734609603882,0.32757577300071716,0.0019497538451105356,0.0021274834871292114,0.003999426495283842,1.0981701612472534,2.998673915863037,0.35282617807388306,0.3167053163051605
