candidate_id,aggregation_mode,comparison,dataset,k_blocks,mean_daily_diff,std_daily_diff,ci_95_low,ci_95_high,t_stat,p_value_t,w_stat,p_value_wilcoxon,cohen_d,p_val_t_holm,p_val_wilcoxon_holm
F5,5seed_mean,vs_F0_Canonical_V1,GEFCom,456,-0.31101107597351074,0.9488406181335449,-0.39810080069234643,-0.22392135125467505,-6.999467372894287,9.258331948314158e-12,35105.0,1.586552000887309e-09,-0.32778009999982566,9.258331948314158e-12,1.586552000887309e-09
F1,seed42,vs_F0_Canonical_V1,UCI,163,0.3009825646877289,0.6883497834205627,0.19530776110995268,0.4066573682655051,5.582464218139648,9.784425714087774e-08,3582.0,2.7726466100830294e-07,0.43725234984393585,4.892212857043887e-07,1.3863233050415147e-06
F1,5seed_mean,vs_F0_Canonical_V1,UCI,163,-0.04464687034487724,0.400364488363266,-0.10611044553054082,0.01681670484078633,-1.42373526096344,0.15644638240337372,5968.0,0.23612137138843536,-0.11151555776648167,0.31289276480674744,0.4722427427768707
F2,seed42,vs_F0_Canonical_V1,UCI,163,0.14919224381446838,1.267907738685608,-0.045455745430967726,0.3438402330599045,1.502285122871399,0.1349702924489975,5718.0,0.10982482135295868,0.11766805902805655,0.28960418701171875,0.32947446405887604
F2,5seed_mean,vs_F0_Canonical_V1,UCI,163,-0.20213937759399414,0.7054956555366516,-0.31044639913955074,-0.09383235604843755,-3.6580562591552734,0.00034329661866649985,4235.0,4.986147177987732e-05,-0.28652107655435716,0.0017164830933324993,0.0002493073588993866
F3,seed42,vs_F0_Canonical_V1,UCI,163,-0.21282832324504852,0.8605648875236511,-0.34494142568998826,-0.08071522080010879,-3.1574723720550537,0.001898441114462912,4755.0,0.0014000135706737638,-0.24731234548083492,0.007593764457851648,0.005600054282695055
F3,5seed_mean,vs_F0_Canonical_V1,UCI,163,-0.15338556468486786,0.6399605870246887,-0.2516317048889008,-0.05513942448083492,-3.060025453567505,0.0025909740943461657,5250.0,0.017575332894921303,-0.2396797012159648,0.010363896377384663,0.07030133157968521
F4,seed42,vs_F0_Canonical_V1,UCI,163,0.04356532171368599,0.9009569883346558,-0.09474873760246227,0.18187938102983425,0.6173489093780518,0.537871241569519,6173.0,0.3980787992477417,0.04835449615710058,0.537871241569519,0.3980787992477417
F4,5seed_mean,vs_F0_Canonical_V1,UCI,163,0.12817925214767456,0.6675084233283997,0.025703994334391536,0.2306545099609576,2.451629161834717,0.015283086337149143,5362.0,0.028606709092855453,0.1920264160686838,0.04584925901144743,0.08582012727856636
F5,seed42,vs_F0_Canonical_V1,UCI,163,0.16898736357688904,1.290675163269043,-0.029155859020507602,0.3671305861742857,1.6715949773788452,0.09653472900390625,5875.0,0.1806240826845169,0.1309294290901057,0.28960418701171875,0.3612481653690338
F5,5seed_mean,vs_F0_Canonical_V1,UCI,163,0.023820994421839714,0.8810660243034363,-0.11143942302850224,0.15908141187218167,0.3451797068119049,0.7304069399833679,6467.0,0.7204132080078125,0.027036559683829373,0.7304069399833679,0.7204132080078125
