candidate_id,dataset,regime_dimension,regime_bin,n_windows,candidate_mae,v1_mae,delta_mae,pct_delta
F0,GEFCom,volatility,high,3645,14.425826072692871,14.425826072692871,0.0,0.0
F0,GEFCom,volatility,low,3645,9.187241554260254,9.187241554260254,0.0,0.0
F0,GEFCom,volatility,medium,3654,13.810757637023926,13.810757637023926,0.0,0.0
F0,GEFCom,load_level,normal,3654,12.845024108886719,12.845024108886719,0.0,0.0
F0,GEFCom,load_level,off_peak,3645,10.259025573730469,10.259025573730469,0.0,0.0
F0,GEFCom,load_level,peak,3645,14.322159767150879,14.322159767150879,0.0,0.0
F1,GEFCom,volatility,high,3645,14.138895988464355,14.425826072692871,-0.2869300842285156,-1.989002660177836
F1,GEFCom,volatility,low,3645,8.933337211608887,9.187241554260254,-0.2539043426513672,-2.7636621233389356
F1,GEFCom,volatility,medium,3654,13.48153305053711,13.810757637023926,-0.3292245864868164,-2.3838269507095005
F1,GEFCom,load_level,normal,3654,12.537264823913574,12.845024108886719,-0.30775928497314453,-2.395941482124655
F1,GEFCom,load_level,off_peak,3645,10.020190238952637,10.259025573730469,-0.23883533477783203,-2.328050649458303
F1,GEFCom,load_level,peak,3645,13.998645782470703,14.322159767150879,-0.3235139846801758,-2.2588350315280863
F2,GEFCom,volatility,high,3645,13.799095153808594,14.425826072692871,-0.6267309188842773,-4.344505973391551
F2,GEFCom,volatility,low,3645,8.655146598815918,9.187241554260254,-0.5320949554443359,-5.791672009329894
F2,GEFCom,volatility,medium,3654,12.904826164245605,13.810757637023926,-0.9059314727783203,-6.55960687307717
F2,GEFCom,load_level,normal,3654,12.295392990112305,12.845024108886719,-0.5496311187744141,-4.278941567768183
F2,GEFCom,load_level,off_peak,3645,9.322453498840332,10.259025573730469,-0.9365720748901367,-9.129248941496531
F2,GEFCom,load_level,peak,3645,13.742725372314453,14.322159767150879,-0.5794343948364258,-4.04571910800924
F3,GEFCom,volatility,high,3645,13.914055824279785,14.425826072692871,-0.5117702484130859,-3.5475972769827036
F3,GEFCom,volatility,low,3645,8.752582550048828,9.187241554260254,-0.4346590042114258,-4.731114930778315
F3,GEFCom,volatility,medium,3654,13.065814971923828,13.810757637023926,-0.7449426651000977,-5.393930085079128
F3,GEFCom,load_level,normal,3654,12.589617729187012,12.845024108886719,-0.25540637969970703,-1.9883680844111886
F3,GEFCom,load_level,off_peak,3645,9.306026458740234,10.259025573730469,-0.9529991149902344,-9.28937173659837
F3,GEFCom,load_level,peak,3645,13.837985038757324,14.322159767150879,-0.4841747283935547,-3.3805983347432575
F4,GEFCom,volatility,high,3645,13.924933433532715,14.425826072692871,-0.5008926391601562,-3.4721935639192063
F4,GEFCom,volatility,low,3645,8.814024925231934,9.187241554260254,-0.3732166290283203,-4.062335644499279
F4,GEFCom,volatility,medium,3654,13.211795806884766,13.810757637023926,-0.5989618301391602,-4.336922003208871
F4,GEFCom,load_level,normal,3654,12.649587631225586,12.845024108886719,-0.1954364776611328,-1.521495489533312
F4,GEFCom,load_level,off_peak,3645,9.388322830200195,10.259025573730469,-0.8707027435302734,-8.48718674498629
F4,GEFCom,load_level,peak,3645,13.91423225402832,14.322159767150879,-0.4079275131225586,-2.848226044621534
F5,GEFCom,volatility,high,3645,13.983048439025879,14.425826072692871,-0.4427776336669922,-3.0693396741538708
F5,GEFCom,volatility,low,3645,9.0402193069458,9.187241554260254,-0.14702224731445312,-1.6002869897701444
F5,GEFCom,volatility,medium,3654,13.46760368347168,13.810757637023926,-0.3431539535522461,-2.4846857625352885
F5,GEFCom,load_level,normal,3654,12.34185791015625,12.845024108886719,-0.5031661987304688,-3.917206813261561
F5,GEFCom,load_level,off_peak,3645,10.331282615661621,10.259025573730469,0.07225704193115234,0.704326491522847
F5,GEFCom,load_level,peak,3645,13.820512771606445,14.322159767150879,-0.5016469955444336,-3.502592965546125
F0,UCI,volatility,high,1306,8.224739074707031,8.224739074707031,0.0,0.0
F0,UCI,volatility,low,1306,5.677764892578125,5.677764892578125,0.0,0.0
F0,UCI,volatility,medium,1310,8.413253784179688,8.413253784179688,0.0,0.0
F0,UCI,load_level,normal,1310,8.090499877929688,8.090499877929688,0.0,0.0
F0,UCI,load_level,off_peak,1306,5.759823322296143,5.759823322296143,0.0,0.0
F0,UCI,load_level,peak,1306,8.466422080993652,8.466422080993652,0.0,0.0
F1,UCI,volatility,high,1306,8.11465072631836,8.224739074707031,-0.11008834838867188,-1.3385024619467172
F1,UCI,volatility,low,1306,5.763741493225098,5.677764892578125,0.08597660064697266,1.5142681518334482
F1,UCI,volatility,medium,1310,8.302921295166016,8.413253784179688,-0.11033248901367188,-1.3114126677958389
F1,UCI,load_level,normal,1310,7.983570575714111,8.090499877929688,-0.10692930221557617,-1.3216647996080406
F1,UCI,load_level,off_peak,1306,5.870769023895264,5.759823322296143,0.1109457015991211,1.9261994010763994
F1,UCI,load_level,peak,1306,8.327951431274414,8.466422080993652,-0.13847064971923828,-1.635527168847636
F2,UCI,volatility,high,1306,7.931535720825195,8.224739074707031,-0.29320335388183594,-3.5648950753289306
F2,UCI,volatility,low,1306,5.9601054191589355,5.677764892578125,0.28234052658081055,4.972739840328413
F2,UCI,volatility,medium,1310,7.830773830413818,8.413253784179688,-0.5824799537658691,-6.923360443822127
F2,UCI,load_level,normal,1310,7.4512763023376465,8.090499877929688,-0.639223575592041,-7.900914729961869
F2,UCI,load_level,off_peak,1306,6.092790126800537,5.759823322296143,0.33296680450439453,5.7808500029330405
F2,UCI,load_level,peak,1306,8.179511070251465,8.466422080993652,-0.2869110107421875,-3.388810221240616
F3,UCI,volatility,high,1306,8.168420791625977,8.224739074707031,-0.05631828308105469,-0.6847424060761066
F3,UCI,volatility,low,1306,5.776571273803711,5.677764892578125,0.09880638122558594,1.740233449123781
F3,UCI,volatility,medium,1310,7.925584316253662,8.413253784179688,-0.4876694679260254,-5.796442404704547
F3,UCI,load_level,normal,1310,7.5929999351501465,8.090499877929688,-0.497499942779541,-6.149185943934394
F3,UCI,load_level,off_peak,1306,5.897501468658447,5.759823322296143,0.1376781463623047,2.3903185003291827
F3,UCI,load_level,peak,1306,8.381094932556152,8.466422080993652,-0.0853271484375,-1.0078299610263002
F4,UCI,volatility,high,1306,8.77837085723877,8.224739074707031,0.5536317825317383,6.731298223445183
F4,UCI,volatility,low,1306,5.666480541229248,5.677764892578125,-0.011284351348876953,-0.19874633020053992
F4,UCI,volatility,medium,1310,8.25635051727295,8.413253784179688,-0.15690326690673828,-1.864953230725637
F4,UCI,load_level,normal,1310,7.924531936645508,8.090499877929688,-0.1659679412841797,-2.051392661447309
F4,UCI,load_level,off_peak,1306,5.758514404296875,5.759823322296143,-0.0013089179992675781,-0.02272496392295834
F4,UCI,load_level,peak,1306,9.019171714782715,8.466422080993652,0.5527496337890625,6.528726812978849
F5,UCI,volatility,high,1306,8.047103881835938,8.224739074707031,-0.17763519287109375,-2.1597666462112626
F5,UCI,volatility,low,1306,6.134181022644043,5.677764892578125,0.45641613006591797,8.038657082753923
F5,UCI,volatility,medium,1310,8.20957088470459,8.413253784179688,-0.20368289947509766,-2.420976241657434
F5,UCI,load_level,normal,1310,7.856838226318359,8.090499877929688,-0.23366165161132812,-2.8880987115240364
F5,UCI,load_level,off_peak,1306,6.3007588386535645,5.759823322296143,0.5409355163574219,9.391528041288923
F5,UCI,load_level,peak,1306,8.234338760375977,8.466422080993652,-0.23208332061767578,-2.7412204469049235
