model,seed,trainable_params,total_deployed_params,test_mae_mw,test_mse_mw2,test_rmse_mw,test_r2,test_mape_pct
Learned_Static_Weights,43,3,139841,242.306396484375,110123.8359375,331.84912109375,0.874312162399292,4.517573833465576
Standalone_Patch,43,0,63624,257.51300048828125,125528.9453125,354.30064255163296,0.8567298054695129,4.784257888793945
Standalone_GRU,43,0,31344,280.8016662597656,145955.515625,382.04124859103894,0.8334163427352905,5.245390892028809
Static_Equal_Ensemble,44,0,139838,234.10862731933594,103950.2734375,322.4132029515851,0.8813582062721252,4.336533546447754
CAEG_Net_SR_Optimal,44,2595,142433,237.68038940429688,106619.0859375,326.5257873535156,0.8783122301101685,4.410405158996582
CAEG_Net_SR_Shrinkage_Only,44,2595,142433,242.49607849121094,110840.3828125,332.927001953125,0.8734943270683289,4.50112247467041
CAEG_Net_SR_KL_Only,44,2595,142433,238.09002685546875,107357.109375,327.6539611816406,0.8774698972702026,4.41339111328125
Decoupled_CAEG_Unconstrained,44,2595,142433,238.1149139404297,106540.5,326.40542274907136,0.8784019351005554,4.4148640632629395
CAEG_Net_V2_Full,44,142433,142433,240.55636596679688,106591.2265625,326.4831183422812,0.8783440589904785,4.408029556274414
Standalone_TCN,44,0,44870,240.71556091308594,103571.453125,321.8251903207703,0.8817905783653259,4.478433132171631
Learned_Static_Weights,44,3,139841,250.14773559570312,117910.0078125,343.3802795410156,0.8654255270957947,4.6423020362854
Standalone_Patch,44,0,63624,268.6961669921875,134728.390625,367.05366177849254,0.8462302088737488,4.995030879974365
Standalone_GRU,44,0,31344,267.6759338378906,134750.0,367.08309685955305,0.8462055325508118,4.954142093658447
Static_Equal_Ensemble,45,0,139838,232.553466796875,100577.5625,317.13965772195695,0.8852075934410095,4.29409122467041
CAEG_Net_SR_Optimal,45,2595,142433,254.29800415039062,118416.515625,344.11700439453125,0.8648474216461182,4.697404384613037
CAEG_Net_SR_Shrinkage_Only,45,2595,142433,253.84620666503906,117890.796875,343.352294921875,0.865447461605072,4.690707683563232
CAEG_Net_SR_KL_Only,45,2595,142433,241.18162536621094,107956.6171875,328.5675354003906,0.8767856359481812,4.446315288543701
Decoupled_CAEG_Unconstrained,45,2595,142433,255.52499389648438,119532.25,345.73436334851067,0.8635740280151367,4.719841957092285
CAEG_Net_V2_Full,45,142433,142433,244.84112548828125,110190.078125,331.94890890768113,0.874236524105072,4.5063886642456055
Standalone_TCN,45,0,44870,245.306640625,108961.8046875,330.09363018316486,0.8756384253501892,4.5686798095703125
Learned_Static_Weights,45,3,139841,262.2560119628906,124699.8125,353.12860107421875,0.8576761484146118,4.851044178009033
Standalone_Patch,45,0,63624,267.9198913574219,129384.640625,359.7007653939591,0.8523291945457458,4.9606804847717285
Standalone_GRU,45,0,31344,287.2314147949219,153161.203125,391.3581519848539,0.8251922130584717,5.331057071685791
Static_Equal_Ensemble,46,0,139838,227.98843383789062,99437.109375,315.33650181195327,0.8865092396736145,4.1878461837768555
CAEG_Net_SR_Optimal,46,2595,142433,230.9915008544922,99678.8125,315.7195129394531,0.886233389377594,4.236940383911133
CAEG_Net_SR_Shrinkage_Only,46,2595,142433,229.40371704101562,98385.7890625,313.66510009765625,0.8877091407775879,4.203168869018555
CAEG_Net_SR_KL_Only,46,2595,142433,228.2938995361328,99117.40625,314.82916259765625,0.8868741393089294,4.187198638916016
Decoupled_CAEG_Unconstrained,46,2595,142433,232.34742736816406,100398.0625,316.856532992457,0.8854124546051025,4.268911361694336
CAEG_Net_V2_Full,46,142433,142433,237.25535583496094,103101.09375,321.09359032842747,0.8823274374008179,4.385242462158203
Standalone_TCN,46,0,44870,234.6289825439453,97839.875,312.79366202018866,0.8883322477340698,4.319319248199463
Learned_Static_Weights,46,3,139841,233.81349182128906,101947.0234375,319.29144287109375,0.8836445808410645,4.292532444000244
Standalone_Patch,46,0,63624,264.5165710449219,127692.671875,357.34111416824123,0.854260265827179,4.873981475830078
Standalone_GRU,46,0,31344,273.7789306640625,144634.984375,380.30906428193373,0.834923505783081,5.081335544586182
