dataset,regime_category,regime_name,n_windows,mae_caeg,mae_equal,mae_best_expert,delta_equal,delta_best_expert,caeg_win_rate_equal,caeg_win_rate_best
PJM,Weekend_Weekday,1,336,271.236572265625,274.3301086425781,229.17529296875,-3.0935580730438232,42.06123733520508,0.5089285714285714,0.36904761904761907
GEFCom,Volatility,high,2958,14.55964469909668,14.143588066101074,12.052597999572754,0.41605597734451294,2.507047653198242,0.473630831643002,0.2657200811359026
GEFCom,Volatility,low,4689,10.407360076904297,10.089853286743164,8.313507080078125,0.3175058364868164,2.0938525199890137,0.4290893580720836,0.2072936660268714
GEFCom,Volatility,medium,3297,15.244281768798828,14.867452621459961,12.56571102142334,0.37682968378067017,2.6785707473754883,0.45950864422202004,0.22747952684258416
GEFCom,Ramp_Magnitude,high,3570,17.17037010192871,16.858627319335938,14.470846176147461,0.3117443919181824,2.6995248794555664,0.503921568627451,0.2560224089635854
GEFCom,Ramp_Magnitude,low,3812,10.639405250549316,10.117173194885254,8.296279907226562,0.5222315192222595,2.343126058578491,0.3984784889821616,0.1896642182581322
GEFCom,Ramp_Magnitude,medium,3562,11.306092262268066,11.065155982971191,9.201692581176758,0.24093540012836456,2.1043989658355713,0.4519932622122403,0.24452554744525548
GEFCom,Trend_Slope,high,3499,13.781526565551758,13.365567207336426,11.156518936157227,0.41596007347106934,2.6250076293945312,0.44527007716490424,0.22349242640754502
GEFCom,Trend_Slope,low,3744,13.53381633758545,13.22783374786377,11.182287216186523,0.3059835433959961,2.351529359817505,0.4674145299145299,0.23557692307692307
GEFCom,Trend_Slope,medium,3701,11.682182312011719,11.314488410949707,9.500031471252441,0.36769500374794006,2.1821513175964355,0.43771953526074037,0.22804647392596594
GEFCom,Expert_Disagreement,high,3055,15.33484172821045,14.796699523925781,11.79216480255127,0.5381419062614441,3.5426759719848633,0.4612111292962357,0.2016366612111293
GEFCom,Expert_Disagreement,low,4264,11.54339599609375,11.167380332946777,9.849088668823242,0.37601521611213684,1.6943073272705078,0.425422138836773,0.24296435272045028
GEFCom,Expert_Disagreement,medium,3625,12.705918312072754,12.508806228637695,10.494120597839355,0.19711267948150635,2.2117979526519775,0.4703448275862069,0.23613793103448275
GEFCom,Load_Level,normal,3632,13.570341110229492,13.14865493774414,11.033102035522461,0.421686053276062,2.5372397899627686,0.4363986784140969,0.18502202643171806
GEFCom,Load_Level,off_peak,3608,9.807658195495605,9.534396171569824,7.855945110321045,0.2732616662979126,1.9517134428024292,0.44124168514412415,0.22671840354767184
GEFCom,Load_Level,peak,3704,15.511452674865723,15.121499061584473,12.863469123840332,0.38995519280433655,2.647984027862549,0.47273218142548595,0.27483801295896326
GEFCom,Diurnal,afternoon,2736,12.651189804077148,12.286661148071289,10.236212730407715,0.36452823877334595,2.4149773120880127,0.46345029239766083,0.2273391812865497
GEFCom,Diurnal,evening,2736,12.34235668182373,12.016610145568848,10.214832305908203,0.32574814558029175,2.127525568008423,0.4510233918128655,0.24853801169590642
GEFCom,Diurnal,morning,2736,13.490797996520996,13.094100952148438,10.947561264038086,0.3966979682445526,2.54323673248291,0.4444444444444444,0.21198830409356725
GEFCom,Diurnal,night,2736,13.46299934387207,13.101916313171387,11.021995544433594,0.36108332872390747,2.4410035610198975,0.4422514619883041,0.22880116959064328
GEFCom,Weekend_Weekday,0,7824,13.164234161376953,12.787842750549316,10.756207466125488,0.37639233469963074,2.408026695251465,0.4543711656441718,0.2331288343558282
GEFCom,Weekend_Weekday,1,3120,12.541976928710938,12.216017723083496,10.226346015930176,0.32595905661582947,2.315631151199341,0.44006410256410255,0.21923076923076923
UCI,Volatility,high,2358,9.09583568572998,9.125258445739746,8.054102897644043,-0.02942328155040741,1.0417323112487793,0.5385920271416454,0.3706530958439355
UCI,Volatility,low,903,6.321826457977295,6.657971382141113,5.828123569488525,-0.33614441752433777,0.4937034547328949,0.6345514950166113,0.4274640088593577
UCI,Volatility,medium,661,6.705001354217529,6.812777519226074,5.87637996673584,-0.10777626931667328,0.8286213874816895,0.6127080181543116,0.40242057488653554
UCI,Ramp_Magnitude,high,1324,9.003959655761719,9.255483627319336,8.069074630737305,-0.2515240013599396,0.9348850846290588,0.5808157099697885,0.40181268882175225
UCI,Ramp_Magnitude,low,1287,7.249363899230957,7.314151287078857,6.4801812171936035,-0.06478697061538696,0.7691832780838013,0.5982905982905983,0.40015540015540013
