finalist_id,dataset,seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,mean_entropy,effective_n_experts
B1_Zero_Recent_Error_3D,UCI,42,0.4148765802383423,0.2403678297996521,0.3447555899620056,1.0727145671844482,2.923584461212158
B1_Zero_Recent_Error_3D,UCI,123,0.46811676025390625,0.1783788651227951,0.35350435972213745,1.0303947925567627,2.8021745681762695
B1_Zero_Recent_Error_3D,UCI,999,0.43333911895751953,0.19747422635555267,0.369186669588089,1.0502220392227173,2.858351707458496
B1_Zero_Recent_Error_3D,UCI,2024,0.4523068964481354,0.2221491038799286,0.32554396986961365,1.0577342510223389,2.879842519760132
B1_Zero_Recent_Error_3D,UCI,3407,0.4467147886753082,0.2209809422492981,0.3323042690753937,1.0596143007278442,2.885270118713379
C3_Softer_Temperature,PJM,42,0.42218008637428284,0.2943437695503235,0.28347617387771606,1.0813539028167725,2.948671340942383
C3_Softer_Temperature,PJM,123,0.3779151141643524,0.2771247625350952,0.34496012330055237,1.090512990951538,2.9758007526397705
C3_Softer_Temperature,PJM,999,0.3503473699092865,0.2980468273162842,0.3516058325767517,1.0957492589950562,2.9914231300354004
C3_Softer_Temperature,PJM,2024,0.3807987570762634,0.3002481460571289,0.31895309686660767,1.0933291912078857,2.9841935634613037
C3_Softer_Temperature,PJM,3407,0.40100306272506714,0.2798714339733124,0.3191254734992981,1.0873132944107056,2.966294527053833
C3_Softer_Temperature,GEFCom,42,0.42489901185035706,0.2819613516330719,0.29313963651657104,1.079530954360962,2.9433624744415283
C3_Softer_Temperature,GEFCom,123,0.42691558599472046,0.2524169981479645,0.32066744565963745,1.0750720500946045,2.930246353149414
C3_Softer_Temperature,GEFCom,999,0.37049901485443115,0.25626349449157715,0.3732375204563141,1.0832092761993408,2.954162359237671
C3_Softer_Temperature,GEFCom,2024,0.37748852372169495,0.2930085361003876,0.3295029401779175,1.0918571949005127,2.9798245429992676
C3_Softer_Temperature,GEFCom,3407,0.4216194748878479,0.2681739628314972,0.3102065324783325,1.079671859741211,2.943756580352783
C3_Softer_Temperature,UCI,42,0.43990448117256165,0.22727209329605103,0.33282342553138733,1.0622611045837402,2.8931617736816406
C3_Softer_Temperature,UCI,123,0.4605879783630371,0.17450794577598572,0.3649040460586548,1.0291486978530884,2.798731565475464
C3_Softer_Temperature,UCI,999,0.4538012146949768,0.17708739638328552,0.3691113591194153,1.0322638750076294,2.8075408935546875
C3_Softer_Temperature,UCI,2024,0.46222129464149475,0.1922762095928192,0.34550249576568604,1.0403482913970947,2.830254316329956
C3_Softer_Temperature,UCI,3407,0.5046771764755249,0.19773273169994354,0.29759010672569275,1.0260339975357056,2.7900660037994385
